datetimeUtc,location_id,location_name,latitude,longitude,date,time,pm1,pm10,pm2.5,relativehumidity,temperature,um003,AQI_pm2.5,AQI_pm10,AQI
2024-10-20 08:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,08:00:00,69.35972150166829,129.74484316507974,124.30734125773112,35.058135668436684,33.40099239349365,17900.426595052082,222.78005041638968,87.62497315088908,222.78005041638968
2024-10-20 09:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,09:00:00,59.75238068898519,109.45238049825032,105.36666742960612,32.420238176981606,33.62738005320231,15456.39298502604,203.02107561149637,77.68166644414265,203.02107561149637
2024-10-20 10:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,10:00:00,58.21949418385824,106.90535736083984,102.8296127319336,31.68764877319336,33.67380968729655,15097.166748046877,200.37441159601082,76.43362510681152,200.37441159601082
2024-10-20 11:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,11:00:00,60.57182534535726,112.37876892089844,107.74632835388184,33.49637921651205,32.72757943471273,15669.381022135416,205.50354591184723,79.11559677124023,205.50354591184723
2024-10-20 12:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,12:00:00,58.94595209757487,110.06571388244627,105.09118970235188,35.65285682678223,31.47523816426595,15233.369140625,202.73369631752198,77.98219980239867,202.73369631752198
2024-10-20 13:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,13:00:00,60.28637483384874,112.57367621527776,107.10965474446614,41.04510625203451,29.91719584994846,15565.258029513889,204.83936585566013,79.2111013454861,204.83936585566013
2024-10-20 14:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,14:00:00,72.23809560139973,133.12023862202963,127.14880879720052,45.9023806254069,28.666666348775227,18564.857096354168,225.74427893490886,89.27891692479452,225.74427893490886
2024-10-20 15:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,15:00:00,82.7904764811198,151.31587346394858,144.19682693481445,49.05714257558187,27.900000254313152,21121.70426432292,243.5288289414819,98.1947779973348,243.5288289414819
2024-10-20 16:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,16:00:00,93.8932539621989,172.6855150858561,164.2029266357422,51.48566468556722,27.39107163747152,23817.85758463541,214.579476846231,109.6659023920695,214.579476846231
2024-10-20 17:00:00+00:00,2860223,GK1 (Oberoi Terrace),28.5500047,77.2431058,2024-10-20,17:00:00,105.1152769724528,195.9194424947103,186.28670374552408,51.02757930755615,27.108532110850017,26470.95426432292,236.46430100907793,121.05052682240805,236.46430100907793
